affy_probe_id	GSM528691_IFNb18hr_1	GSM528692_IFNb18hr_2	GSM528749_media18hr_1	GSM528750_media18hr_2
201492_s_at	8452.673381	8348.144719	8582.323895	8880.099432
201493_s_at	174.3666885	194.1403218	197.1023784	173.280487
201494_at	224.5298016	238.9971655	208.1025352	213.1022648
201495_x_at	9.444912866	8.294593681	7.833116978	8.353376162
201496_x_at	6.239877965	5.930229614	6.233001489	6.309458734
201497_x_at	9.453191931	8.913962699	8.811227865	11.52397669
201498_at	168.6095364	164.7959147	217.1392694	237.7927968
201499_s_at	171.4177081	178.3237654	225.5341255	200.7397198
201500_s_at	300.9213118	218.9231362	349.0404957	360.458225
201501_s_at	136.7571324	177.0869992	162.8001401	152.4725963
201502_s_at	439.8514502	341.7054268	333.8820083	327.4276119
201503_at	494.6083201	592.2267658	595.6209316	577.5780155
201504_s_at	177.2070705	184.3849079	193.532647	172.3759316
201505_at	412.3901807	455.6916382	397.5572667	403.3977478
201506_at	3320.126525	3537.978073	3558.353494	3359.317698
201507_at	245.7640702	237.5331996	229.1465129	229.1913835
201508_at	63.31264474	38.03576331	43.8507696	33.79435896
201509_at	158.9045606	169.9870688	176.2892602	162.2965862
201510_at	9.22088865	8.02214388	9.696070834	7.532476538
201511_at	172.6633893	154.7112965	168.3088287	154.9273507
201512_s_at	220.8621151	227.9050328	198.8127342	191.3495288
201513_at	25.17030537	37.14110029	38.30403154	37.73762484
201514_s_at	239.9910707	227.5741429	264.5938188	284.6446012
201515_s_at	279.9750494	300.5706869	316.4754715	335.0576871
201516_at	420.6348405	325.2961769	468.7137916	370.8295677
201517_at	232.0068099	284.8187212	260.7137614	258.0164272
201518_at	425.3496194	507.3597314	488.5122882	527.0893007
201519_at	363.8996288	416.4614474	454.6340033	408.9807954
201520_s_at	573.2266736	577.2850934	520.0165735	498.0781232
201521_s_at	134.3771275	160.684801	144.1215782	181.6424273
201522_x_at	561.1343342	549.9796063	633.2152097	611.4286993
201523_x_at	897.1903363	1002.626069	841.24554	915.2633909
201524_x_at	1316.259482	1386.27004	1357.521549	1439.268068
201525_at	9.570038337	7.834172109	9.061512181	7.738969106
201526_at	98.43871103	97.03293875	121.9462654	115.4837306
201527_at	1172.345172	1020.007995	1205.578291	1109.004184
201528_at	481.4282094	521.0355444	568.412005	527.7381259
201529_s_at	200.1876046	225.0884476	234.8373609	213.7919464
201530_x_at	3695.53408	3443.796185	3578.175209	3357.124877
201531_at	128.1559426	133.3997334	111.1868059	112.0260418
201532_at	1821.119822	2120.277295	1354.700683	1436.830734
201533_at	1040.119198	1159.530693	1188.344723	1070.890195
201534_s_at	64.20817876	77.32312847	66.8250018	71.61515751
201535_at	35.478266	30.75998372	44.3929129	56.05499282
201536_at	84.59474888	79.31997058	97.18060573	80.24869823
201537_s_at	37.34892781	46.09215803	40.68400626	28.28202785
201538_s_at	28.12694589	20.76825832	23.61147843	18.46553288
201539_s_at	125.5682058	113.0801805	106.4668842	97.24582562
201540_at	811.3027904	843.3515488	931.3516489	888.2362107
201541_s_at	565.3046125	556.6753877	518.7181387	567.9842985
201542_at	266.1484127	307.7532086	296.7633698	340.3051665
201543_s_at	301.1182098	293.2801928	270.4471503	294.4332647
201544_x_at	431.2278651	373.0854092	467.4594143	493.980196
201545_s_at	43.92087071	53.79043576	48.40987893	37.64167333
201546_at	809.5649694	800.9747049	648.5478089	612.373354
201547_at	7.134501216	8.654857258	6.460496022	6.982383519
201548_s_at	156.9593064	155.9098051	159.990076	163.8227979
201549_x_at	192.2278636	175.2073469	183.4102405	155.6993082
201550_x_at	4734.097989	4509.984306	5410.355561	5487.890424
201551_s_at	102.9112583	109.9652295	95.21560212	40.43017582
201552_at	369.501235	393.4378187	315.454596	289.0896301
201553_s_at	2540.283476	2540.031073	2103.85773	2233.578482
201554_x_at	281.4611776	283.1545619	272.5778956	245.9712902
201555_at	180.4939631	210.06963	204.7310627	171.1564144
201556_s_at	8.736399251	7.571407211	7.987186149	7.433049577
201557_at	14.39370806	14.1916494	18.63118727	16.62933539
201558_at	230.4009594	241.4357833	257.2787385	265.8819232
201559_s_at	201.7722309	214.3597694	138.2043591	146.9920613
201560_at	436.838347	456.0427664	428.0976697	459.7564771
201561_s_at	470.0502093	578.0065476	467.3563131	420.3462927
201562_s_at	96.35484762	123.1430561	97.93748167	81.76693037
201563_at	284.8849606	287.0284007	234.3460624	204.592413
201564_s_at	269.7766587	228.1524285	266.2686663	216.3255382
201565_s_at	9.004391832	9.551094007	8.603706759	8.328956974
201566_x_at	6.451371837	7.304823957	6.789559508	8.084603423
201567_s_at	203.7395555	269.0008121	285.9347094	258.9612041
201568_at	1148.548361	1150.255152	1209.322563	1200.883432
201569_s_at	225.5953513	229.8206038	280.3631775	309.7352478
201570_at	197.6266872	200.898283	239.7508989	235.2705184
201571_s_at	427.9083131	428.6811238	353.7753886	336.8086709
201572_x_at	308.0685738	336.9524637	339.8666333	263.9459942
201573_s_at	352.5563643	328.7591593	375.5881034	354.2722106
201574_at	403.5399171	458.1047841	493.4804139	461.2304587
201575_at	293.929043	342.0392225	309.6949499	321.8654093
201576_s_at	286.0803416	243.7448878	217.2593092	224.2848871
201577_at	1196.5821	1116.758024	1320.962293	1261.33743
201578_at	7.562248358	7.332204783	8.191213539	7.047433764
201579_at	648.7715384	812.6708578	891.1493686	793.1773843
201580_s_at	48.10443822	37.57390051	62.7472648	60.30720267
201581_at	49.50941018	52.80270994	63.83649933	69.98957243
201582_at	147.39561	155.7344028	129.2096276	118.8668493
201583_s_at	473.6468215	515.0412704	419.4031691	377.7330011
201584_s_at	388.4610088	362.9311291	461.7303137	468.0722121
201585_s_at	128.1060601	162.1052177	144.188671	146.624944
201586_s_at	537.77868	574.7685956	645.6459014	611.5371479
201587_s_at	433.4285863	493.7766605	564.8991553	585.7234962
201588_at	973.872124	993.718604	1086.22459	1086.40263
201589_at	305.4252271	332.255676	357.8495831	340.9377181
201590_x_at	8217.155474	8183.625158	8258.586466	8514.405686
201591_s_at	118.5370178	115.9587038	112.2599624	118.3775021
201592_at	2110.775238	2106.056736	2187.230471	2378.160799
201593_s_at	838.1456975	960.3902772	847.5606435	895.0283051
